,formatted_address,lat,lng,name,status
0,"Ramabai Ambedkar Marg, near Haj House, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001, India",18.9459379,72.8352403,"A 1 400001 M.R.A. Police Quarters,M.R.A. Road,Fort",OK
1,"M.R.A. Marg, Palton Rd, opposite Crawford Market, Mandvi Koliwada, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001, India",18.9483221,72.8356609,"A 2 400001 Dcb Building,M.R.A. Marg,Near Crowfard Market,Fort",OK
2,"3, 100/2, Captain Prakash Pethe Marg, Badhwar Park, Machimar Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9179494,72.8250608,"A 3 400005 Ganeshmurthi Nagar Part No 2,Captain Prakash Pethe Marg,Colaba Congested Area",OK
3,"4, 1, Captain Prakash Pethe Marg, Badhwar Park, Machimar Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9180166,72.8251581,"A 4 400005 Ganeshmurthi Nagar Part No 1,3,Captain Prakash Pethe Marg,Colaba Congested Area",OK
4,"Free Press Journal Marg, Mumbai, Maharashtra, India",18.924775,72.8251447,"A 5 400005 Shivshakti Nagar,Free Press Journal Road,Nariman Point,Colaba Congested Area",OK
5,"Adenwala Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9197182,72.8298531,"A 6 400005 Sunder Nagar,Indumati Sakrikar Marg,Near Colaba Market,Colaba Congested Area",OK
6,"Dr Homi Bhabha Rd, Colaba, Mumbai, Maharashtra 400005, India",18.9072667,72.8094898,"A 7 400005 Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba Congested Area",OK
7,"Captain Prakash Pethe Marg, Colaba, Mumbai, Maharashtra, India",18.9134577,72.8208046,"A 8 400005 Ambedkar Nagar,Capt. Prakash Pethe Marg,Colaba Congested Area",OK
8,"Lala Nigam Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9171013,72.8288065,"A 9 400005 Azad Nagari,Lala Nigam Road,Colaba Congested Area",OK
9,"GD Somani Marg, Opposite Maker Tower 'H, Cuffe Parade, Mumbai, Maharashtra 400005, India",18.9167238,72.8185535,"A 10 400005 Maker Tower,G.D.Somani Road,Colaba",OK
10,"5, Captain Prakash Pethe Marg, Badhwar Park, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9174726,72.8248492,"A 11 400005 Machchimar Nagar No.5,Capt. Prakash Pethe Marg,Colaba Congested Area",OK
11,"Jamshetji Bunder, Apollo Bandar, Colaba, Mumbai, Maharashtra, India",18.9155998,72.8302691,"A 12 400005 Darya Nagari,Near Jamshedji Bunder,Colaba Congested Area",OK
12,"Mumbai, Maharashtra 400005, India",18.9103689,72.8197581,"A 13 400005 Srpf Police Quarters,,Colaba",OK
13,"Narayan A Sawant Rd, Near Sasoon Dock & Mukesh Mill, Azad Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9154742,72.82607949999999,"A 14 400005 Chotu Terrace,Near Colab Fire Station,Colaba",OK
14,"1, Vitthaldas Thackersey Marg, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",18.9397534,72.8284255,"A 15 400020 Bell Heaven Building Servant Quarters,Near Bombay Hospital,New Marine Lines",OK
15,"Chawal Galli, Zakeria Masjid St, Masjid Bandar West, Mandvi, Mumbai, Maharashtra 400003, India",18.9554088,72.8347697,"B 16 400003 Noble Tower,Zakeria Masjid Street,Near Hotel Hayat,Mandvi",OK
16,"Zakeria Masjid St, Pydhonie, Mandvi, Mumbai, Maharashtra, India",18.9541012,72.83467209999999,"B 17 400003 Parveen Manzil,Dontaad Street,Near Zakeria Masjid,Pydhonie",OK
17,"Masjid, A Gandhi Marg, Katha Bazar, Vadgadi, Masjid Bandar West, Masjid Bandar, Mumbai, Maharashtra 400003, India",18.9518278,72.8382898,"B 18 400003 Hazira Masion,Samuel Street,Opp. Hotel Al-Rehmaniya,Masjid Railway Station (W)",OK
18,"Crawford market south Mumbai, Omega Building, Lokmanya Tilak Marg, Dhobi Talao, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400002, India",18.9473731,72.8337761,"B 19 400003 Parsi Chawl,Nagdevi Street,Opp. Crawford Market, Near Vip Bags Showroom,Crowford Market Congested Area",OK
19,"76, Raudat Tahera St, Bohri Mohalla, Bhendi Bazaar, Kumbharwada, Mumbai, Maharashtra 400003, India",18.9602105,72.8305489,"B 20 400003 Vanjira Building,Memonwada Road,Near Minara Masjid,Dongri",OK
